floor,node_id,store,map_x,map_y,notes
Basement 1,b1_tinsel-rack,Tinsel Rack,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Basement 1,b1_istudio,iStudio,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Basement 1,b1_taiwan-noodle-and-dumpling,Taiwan Noodle and Dumpling,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Basement 1,b1_burger-king,Burger King,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Basement 1,b1_lenskart,Lenskart,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Basement 1,b1_art-friend,Art Friend,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Basement 1,b1_supergurl,Supergurl,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Basement 1,b1_dmk,DMK,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Basement 1,b1_neonmello,Neonmello,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Basement 1,b1_fash-mob,Fash Mob,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Basement 1,b1_love-and-bravery,Love & Bravery,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Basement 1,b1_kfc,KFC,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Basement 1,b1_mcdonalds,McDonald's,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Basement 1,b1_dbs,DBS,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Basement 1,b1_smiggle,Smiggle,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Level 1,l1_pedro,Pedro,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Level 1,l1_levis,Levi's,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Level 1,l1_determinant,Determinant,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Level 1,l1_g2000,G2000,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Level 1,l1_ecco,ECCO,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Level 1,l1_benjamin-barker,Benjamin Barker,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Level 1,l1_muji,MUJI,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Level 1,l1_tiong-bahru-bakery,Tiong Bahru Bakery,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Level 1,l1_aldo,ALDO,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Level 1,l1_ray-ban,Ray-Ban,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Level 1,l1_goldheart,Goldheart,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Level 1,l1_five-guys,Five Guys,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Level 1,l1_the-body-shop,The Body Shop,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Level 2,l2_asics,ASICS,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Level 2,l2_setirom,Setirom,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Level 2,l2_anta,ANTA,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Level 2,l2_uniqlo,UNIQLO,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Level 2,l2_meilleur-moment,Meilleur Moment,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Level 2,l2_charles-and-keith,Charles & Keith,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Level 2,l2_spectacle-hut,Spectacle Hut,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Level 2,l2_typo,TYPO,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Level 2,l2_din-tai-fung,Din Tai Fung,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
Level 2,l2_seorae,Seorae,,,Optional. Add only if you want dots/routes overlaid on the reference map image.
