floor,node_id,store,asset_id,file_path,assign_role,keep_for_vision_reference,notes
Basement 1,b1_tinsel-rack,Tinsel Rack,asset_b1_tinsel-rack_capture_1,/assets/places/b1/b1_tinsel-rack/capture-01.jpg,,yes,Choose role after visual review. Both roles are intentionally unassigned in data.
Basement 1,b1_tinsel-rack,Tinsel Rack,asset_b1_tinsel-rack_capture_2,/assets/places/b1/b1_tinsel-rack/capture-02.jpg,,yes,Choose role after visual review. Both roles are intentionally unassigned in data.
Basement 1,b1_istudio,iStudio,asset_b1_istudio_capture_1,/assets/places/b1/b1_istudio/capture-01.jpg,,yes,Choose role after visual review. Both roles are intentionally unassigned in data.
Basement 1,b1_istudio,iStudio,asset_b1_istudio_capture_2,/assets/places/b1/b1_istudio/capture-02.jpg,,yes,Choose role after visual review. Both roles are intentionally unassigned in data.
Basement 1,b1_taiwan-noodle-and-dumpling,Taiwan Noodle and Dumpling,asset_b1_taiwan-noodle-and-dumpling_capture_1,/assets/places/b1/b1_taiwan-noodle-and-dumpling/capture-01.jpg,,yes,Choose role after visual review. Both roles are intentionally unassigned in data.
Basement 1,b1_taiwan-noodle-and-dumpling,Taiwan Noodle and Dumpling,asset_b1_taiwan-noodle-and-dumpling_capture_2,/assets/places/b1/b1_taiwan-noodle-and-dumpling/capture-02.jpg,,yes,Choose role after visual review. Both roles are intentionally unassigned in data.
Basement 1,b1_burger-king,Burger King,asset_b1_burger-king_capture_1,/assets/places/b1/b1_burger-king/capture-01.jpg,,yes,Choose role after visual review. Both roles are intentionally unassigned in data.
Basement 1,b1_burger-king,Burger King,asset_b1_burger-king_capture_2,/assets/places/b1/b1_burger-king/capture-02.jpg,,yes,Choose role after visual review. Both roles are intentionally unassigned in data.
Basement 1,b1_lenskart,Lenskart,asset_b1_lenskart_capture_1,/assets/places/b1/b1_lenskart/capture-01.jpg,,yes,Choose role after visual review. Both roles are intentionally unassigned in data.
Basement 1,b1_lenskart,Lenskart,asset_b1_lenskart_capture_2,/assets/places/b1/b1_lenskart/capture-02.jpg,,yes,Choose role after visual review. Both roles are intentionally unassigned in data.
Basement 1,b1_art-friend,Art Friend,asset_b1_art-friend_capture_1,/assets/places/b1/b1_art-friend/capture-01.jpg,,yes,Choose role after visual review. Both roles are intentionally unassigned in data.
Basement 1,b1_art-friend,Art Friend,asset_b1_art-friend_capture_2,/assets/places/b1/b1_art-friend/capture-02.jpg,,yes,Choose role after visual review. Both roles are intentionally unassigned in data.
Basement 1,b1_supergurl,Supergurl,asset_b1_supergurl_capture_1,/assets/places/b1/b1_supergurl/capture-01.jpg,,yes,Choose role after visual review. Both roles are intentionally unassigned in data.
Basement 1,b1_supergurl,Supergurl,asset_b1_supergurl_capture_2,/assets/places/b1/b1_supergurl/capture-02.jpg,,yes,Choose role after visual review. Both roles are intentionally unassigned in data.
Basement 1,b1_dmk,DMK,asset_b1_dmk_capture_1,/assets/places/b1/b1_dmk/capture-01.jpg,,yes,Choose role after visual review. Both roles are intentionally unassigned in data.
Basement 1,b1_dmk,DMK,asset_b1_dmk_capture_2,/assets/places/b1/b1_dmk/capture-02.jpg,,yes,Choose role after visual review. Both roles are intentionally unassigned in data.
Basement 1,b1_neonmello,Neonmello,asset_b1_neonmello_capture_1,/assets/places/b1/b1_neonmello/capture-01.jpg,,yes,Choose role after visual review. Both roles are intentionally unassigned in data.
Basement 1,b1_neonmello,Neonmello,asset_b1_neonmello_capture_2,/assets/places/b1/b1_neonmello/capture-02.jpg,,yes,Choose role after visual review. Both roles are intentionally unassigned in data.
