floor,direction,sequence_position,asset_id,step_key,file_path,starts_after_node_id,ends_before_node_id,covers_edge_ids,notes
B1,clockwise,1,asset_b1_cw_hallway_a,hallway_a,/assets/routes/b1/clockwise-01-hallway-a.jpg,,,,
B1,clockwise,2,asset_b1_cw_turn_a,turn_a,/assets/routes/b1/clockwise-02-turn-a.jpg,,,,
B1,clockwise,3,asset_b1_cw_hallway_b,hallway_b,/assets/routes/b1/clockwise-03-hallway-b.jpg,,,,
B1,clockwise,4,asset_b1_cw_turn_b,turn_b,/assets/routes/b1/clockwise-04-turn-b.jpg,,,,
B1,clockwise,5,asset_b1_cw_hallway_c,hallway_c,/assets/routes/b1/clockwise-05-hallway-c.jpg,,,,
B1,clockwise,6,asset_b1_cw_turn_c,turn_c,/assets/routes/b1/clockwise-06-turn-c.jpg,,,,
B1,clockwise,7,asset_b1_cw_hallway_d,hallway_d,/assets/routes/b1/clockwise-07-hallway-d.jpg,,,,
B1,clockwise,8,asset_b1_cw_turn_d,turn_d,/assets/routes/b1/clockwise-08-turn-d.jpg,,,,
B1,counterclockwise,1,asset_b1_acw_turn_d,turn_d,/assets/routes/b1/counterclockwise-01-turn-d.jpg,,,,
B1,counterclockwise,2,asset_b1_acw_hallway_d,hallway_d,/assets/routes/b1/counterclockwise-02-hallway-d.jpg,,,,
B1,counterclockwise,3,asset_b1_acw_turn_c,turn_c,/assets/routes/b1/counterclockwise-03-turn-c.jpg,,,,
B1,counterclockwise,4,asset_b1_acw_hallway_c,hallway_c,/assets/routes/b1/counterclockwise-04-hallway-c.jpg,,,,
B1,counterclockwise,5,asset_b1_acw_turn_b,turn_b,/assets/routes/b1/counterclockwise-05-turn-b.jpg,,,,
B1,counterclockwise,6,asset_b1_acw_hallway_b,hallway_b,/assets/routes/b1/counterclockwise-06-hallway-b.jpg,,,,
B1,counterclockwise,7,asset_b1_acw_turn_a,turn_a,/assets/routes/b1/counterclockwise-07-turn-a.jpg,,,,
B1,counterclockwise,8,asset_b1_acw_hallway_a,hallway_a,/assets/routes/b1/counterclockwise-08-hallway-a.jpg,,,,
L1,clockwise,1,asset_l1_cw_hallway_a,hallway_a,/assets/routes/l1/clockwise-01-hallway-a.jpg,,,,
L1,clockwise,2,asset_l1_cw_turn_a,turn_a,/assets/routes/l1/clockwise-02-turn-a.jpg,,,,
L1,clockwise,3,asset_l1_cw_hallway_b,hallway_b,/assets/routes/l1/clockwise-03-hallway-b.jpg,,,,
L1,clockwise,4,asset_l1_cw_turn_b,turn_b,/assets/routes/l1/clockwise-04-turn-b.jpg,,,,
L1,clockwise,5,asset_l1_cw_hallway_c,hallway_c,/assets/routes/l1/clockwise-05-hallway-c.jpg,,,,
L1,clockwise,6,asset_l1_cw_turn_c,turn_c,/assets/routes/l1/clockwise-06-turn-c.jpg,,,,
L1,clockwise,7,asset_l1_cw_hallway_d,hallway_d,/assets/routes/l1/clockwise-07-hallway-d.jpg,,,,
L1,clockwise,8,asset_l1_cw_turn_d,turn_d,/assets/routes/l1/clockwise-08-turn-d.jpg,,,,
L1,counterclockwise,1,asset_l1_acw_turn_d,turn_d,/assets/routes/l1/counterclockwise-01-turn-d.jpg,,,,
L1,counterclockwise,2,asset_l1_acw_hallway_d,hallway_d,/assets/routes/l1/counterclockwise-02-hallway-d.jpg,,,,
L1,counterclockwise,3,asset_l1_acw_turn_c,turn_c,/assets/routes/l1/counterclockwise-03-turn-c.jpg,,,,
L1,counterclockwise,4,asset_l1_acw_hallway_c,hallway_c,/assets/routes/l1/counterclockwise-04-hallway-c.jpg,,,,
L1,counterclockwise,5,asset_l1_acw_turn_b,turn_b,/assets/routes/l1/counterclockwise-05-turn-b.jpg,,,,
L1,counterclockwise,6,asset_l1_acw_hallway_b,hallway_b,/assets/routes/l1/counterclockwise-06-hallway-b.jpg,,,,
L1,counterclockwise,7,asset_l1_acw_turn_a,turn_a,/assets/routes/l1/counterclockwise-07-turn-a.jpg,,,,
L1,counterclockwise,8,asset_l1_acw_hallway_a,hallway_a,/assets/routes/l1/counterclockwise-08-hallway-a.jpg,,,,
L2,clockwise,1,asset_l2_cw_hallway_a,hallway_a,/assets/routes/l2/clockwise-01-hallway-a.jpg,,,,
L2,clockwise,2,asset_l2_cw_turn_a,turn_a,/assets/routes/l2/clockwise-02-turn-a.jpg,,,,
L2,clockwise,3,asset_l2_cw_hallway_b,hallway_b,/assets/routes/l2/clockwise-03-hallway-b.jpg,,,,
L2,clockwise,4,asset_l2_cw_turn_b,turn_b,/assets/routes/l2/clockwise-04-turn-b.jpg,,,,
L2,clockwise,5,asset_l2_cw_hallway_c,hallway_c,/assets/routes/l2/clockwise-05-hallway-c.jpg,,,,
L2,clockwise,6,asset_l2_cw_turn_c,turn_c,/assets/routes/l2/clockwise-06-turn-c.jpg,,,,
L2,clockwise,7,asset_l2_cw_hallway_d,hallway_d,/assets/routes/l2/clockwise-07-hallway-d.jpg,,,,
L2,clockwise,8,asset_l2_cw_turn_d,turn_d,/assets/routes/l2/clockwise-08-turn-d.jpg,,,,
L2,counterclockwise,1,asset_l2_acw_turn_d,turn_d,/assets/routes/l2/counterclockwise-01-turn-d.jpg,,,,
L2,counterclockwise,2,asset_l2_acw_hallway_d,hallway_d,/assets/routes/l2/counterclockwise-02-hallway-d.jpg,,,,
L2,counterclockwise,3,asset_l2_acw_turn_c,turn_c,/assets/routes/l2/counterclockwise-03-turn-c.jpg,,,,
L2,counterclockwise,4,asset_l2_acw_hallway_c,hallway_c,/assets/routes/l2/counterclockwise-04-hallway-c.jpg,,,,
L2,counterclockwise,5,asset_l2_acw_turn_b,turn_b,/assets/routes/l2/counterclockwise-05-turn-b.jpg,,,,
L2,counterclockwise,6,asset_l2_acw_hallway_b,hallway_b,/assets/routes/l2/counterclockwise-06-hallway-b.jpg,,,,
